resume_text,category
"structural analysis, construction management, AutoCAD, RCC design focused on bridge design with experience in project scheduling, technical writing, quality control. Additional keywords: RCC design structural analysis.",Civil Engineering
"Built and improved API layer by applying Docker, Flask, REST APIs, Java and cloud deployment, CI/CD, documentation. Additional keywords: Python Docker.",Software Engineering
"Hands-on experience with TensorFlow, computer vision, deep learning, model tuning in classification model, including training pipeline, presentation skills, hyperparameter optimization. Additional keywords: NLP model tuning.",AI/ML
"signal processing, medical imaging, PCR, bioinformatics focused on clinical study with experience in data interpretation, regulatory documentation, research methodology. Additional keywords: biostatistics medical imaging.",Biomedical
"Built and improved machine component by applying FMEA, manufacturing, SolidWorks, MATLAB and tolerance stack-up, problem solving, process optimization. Additional keywords: mechanical design SolidWorks.",Mechanical Engineering
"Built and improved LLM assistant by applying TensorFlow, model tuning, machine learning, computer vision and stakeholder communication, training pipeline, MLOps. Additional keywords: NLP computer vision.",AI/ML
"Professional background includes risk analysis, financial modeling, forecasting, Excel, budget dashboard, and strong emphasis on KPI tracking, compliance review, problem solving. Additional keywords: accounting budgeting.",Finance
"Hands-on experience with forecasting, valuation, taxation, Excel in portfolio model, including cost optimization, KPI tracking, technical writing. Additional keywords: valuation budgeting.",Finance
"Professional background includes SolidWorks, CAD, manufacturing, mechanical design, prototype assembly, and strong emphasis on process optimization, finite element analysis, problem solving. Additional keywords: GD&T MATLAB.",Mechanical Engineering
"Worked on infrastructure planning using AutoCAD, construction management, site execution, STAAD Pro and delivered results through BOQ preparation, project scheduling, safety compliance. Additional keywords: RCC design structural analysis.",Civil Engineering
"Professional background includes PCR, signal processing, clinical research, bioinformatics, clinical study, and strong emphasis on data interpretation, research methodology, equipment testing. Additional keywords: bioinformatics PCR.",Biomedical
"Hands-on experience with Pandas, SQL, NumPy, model evaluation in prediction pipeline, including problem solving, stakeholder communication, dashboard reporting. Additional keywords: statistics model evaluation.",Data Science
"Worked on site supervision using STAAD Pro, construction management, RCC design, structural analysis and delivered results through project scheduling, quality control, BOQ preparation. Additional keywords: STAAD Pro RCC design.",Civil Engineering
"RCC design, structural analysis, construction management, AutoCAD focused on structural estimation with experience in quality control, project scheduling, vendor coordination. Additional keywords: surveying AutoCAD.",Civil Engineering
"Worked on content calendar using content strategy, brand management, campaign planning, SEO and delivered results through audience segmentation, conversion optimization, market research. Additional keywords: social media Google Analytics.",Marketing
"Built and improved neural network by applying machine learning, computer vision, NLP, model tuning and feature selection, cross-functional collaboration, hyperparameter optimization. Additional keywords: TensorFlow deep learning.",AI/ML
"Worked on clinical study using clinical research, PCR, healthcare analytics, bioinformatics and delivered results through data interpretation, regulatory documentation, problem solving. Additional keywords: PCR bioinformatics.",Biomedical
"Docker, Django, REST APIs, Flask focused on web application with experience in CI/CD, process improvement, code review. Additional keywords: React Java.",Software Engineering
"CAD, MATLAB, AutoCAD, FMEA focused on machine component with experience in technical drawing, finite element analysis, quality inspection. Additional keywords: CAD FMEA.",Mechanical Engineering
"Built and improved LLM assistant by applying deep learning, model tuning, Python, computer vision and MLOps, data preprocessing, training pipeline. Additional keywords: PyTorch machine learning.",AI/ML
"Worked on recommendation engine using PyTorch, Python, TensorFlow, model tuning and delivered results through feature selection, hyperparameter optimization, business analysis. Additional keywords: deep learning PyTorch.",AI/ML
"Built and improved infrastructure planning by applying surveying, construction management, Revit, RCC design and technical writing, project scheduling, BOQ preparation. Additional keywords: STAAD Pro structural analysis.",Civil Engineering
"Worked on brand launch using campaign planning, CRM, content strategy, SEO and delivered results through audience segmentation, A/B testing, performance reporting. Additional keywords: content strategy brand management.",Marketing
"Professional background includes model evaluation, NumPy, Python, statistics, classification model, and strong emphasis on feature engineering, presentation skills, A/B testing. Additional keywords: Python scikit-learn.",Data Science
"Professional background includes forecasting, Excel, taxation, risk analysis, budget dashboard, and strong emphasis on compliance review, variance analysis, technical writing. Additional keywords: valuation risk analysis.",Finance
"Worked on machine component using mechanical design, SolidWorks, FMEA, CAD and delivered results through tolerance stack-up, finite element analysis, stakeholder communication. Additional keywords: manufacturing AutoCAD.",Mechanical Engineering
"NumPy, statistics, scikit-learn, Pandas focused on classification model with experience in data wrangling, technical writing, dashboard reporting. Additional keywords: SQL Pandas.",Data Science
"Professional background includes forecasting, valuation, accounting, taxation, budget dashboard, and strong emphasis on cash flow planning, variance analysis, stakeholder communication. Additional keywords: taxation risk analysis.",Finance
"Worked on forecasting system using scikit-learn, Pandas, NumPy, Python and delivered results through feature engineering, A/B testing, data wrangling. Additional keywords: Pandas statistics.",Data Science
"Professional background includes medical imaging, biostatistics, PCR, signal processing, clinical study, and strong emphasis on data interpretation, business analysis, lab protocol. Additional keywords: bioinformatics signal processing.",Biomedical
"forecasting, risk analysis, budgeting, taxation focused on investment analysis with experience in process improvement, KPI tracking, cash flow planning. Additional keywords: valuation Excel.",Finance
"Hands-on experience with structural analysis, RCC design, construction management, surveying in bridge design, including BOQ preparation, vendor coordination, safety compliance. Additional keywords: RCC design STAAD Pro.",Civil Engineering
"Worked on building project using STAAD Pro, surveying, site execution, construction management and delivered results through BOQ preparation, documentation, quality control. Additional keywords: AutoCAD structural analysis.",Civil Engineering
"GD&T, CAD, manufacturing, MATLAB focused on prototype assembly with experience in documentation, finite element analysis, technical drawing. Additional keywords: CAD SolidWorks.",Mechanical Engineering
"Hands-on experience with forecasting, accounting, budgeting, risk analysis in audit process, including cash flow planning, compliance review, cost optimization. Additional keywords: taxation valuation.",Finance
"Built and improved device validation by applying clinical research, MATLAB, signal processing, healthcare analytics and equipment testing, documentation, cross-functional collaboration. Additional keywords: MATLAB bioinformatics.",Biomedical
"Built and improved neural network by applying TensorFlow, PyTorch, model tuning, machine learning and process improvement, MLOps, feature selection. Additional keywords: machine learning TensorFlow.",AI/ML
"risk analysis, taxation, valuation, Excel focused on portfolio model with experience in KPI tracking, variance analysis, compliance review. Additional keywords: valuation Excel.",Finance
"Worked on site supervision using AutoCAD, STAAD Pro, site execution, Revit and delivered results through quality control, safety compliance, business analysis. Additional keywords: site execution Revit.",Civil Engineering
"Built and improved investment analysis by applying accounting, forecasting, taxation, risk analysis and business analysis, technical writing, variance analysis. Additional keywords: accounting risk analysis.",Finance
"REST APIs, Docker, Git, SQL focused on API layer with experience in cloud deployment, process improvement, technical writing. Additional keywords: JavaScript Java.",Software Engineering
"Worked on structural estimation using construction management, site execution, structural analysis, AutoCAD and delivered results through technical writing, vendor coordination, safety compliance. Additional keywords: STAAD Pro AutoCAD.",Civil Engineering
"Worked on site supervision using site execution, construction management, surveying, RCC design and delivered results through project scheduling, stakeholder communication, safety compliance. Additional keywords: site execution RCC design.",Civil Engineering
"Worked on content calendar using brand management, content strategy, Google Analytics, campaign planning and delivered results through performance reporting, conversion optimization, stakeholder communication. Additional keywords: content strategy lead generation.",Marketing
"signal processing, PCR, clinical research, MATLAB focused on clinical study with experience in data interpretation, business analysis, technical writing. Additional keywords: healthcare analytics clinical research.",Biomedical
"deep learning, NLP, model tuning, machine learning focused on classification model with experience in data preprocessing, feature selection, hyperparameter optimization. Additional keywords: deep learning computer vision.",AI/ML
"Built and improved site supervision by applying surveying, RCC design, STAAD Pro, Revit and safety compliance, quality control, vendor coordination. Additional keywords: STAAD Pro structural analysis.",Civil Engineering
"Hands-on experience with Flask, REST APIs, Django, Java in full-stack portal, including documentation, CI/CD, unit testing. Additional keywords: Flask Java.",Software Engineering
"Hands-on experience with biostatistics, medical imaging, healthcare analytics, PCR in patient data analysis, including regulatory documentation, data interpretation, presentation skills. Additional keywords: MATLAB bioinformatics.",Biomedical
"Professional background includes scikit-learn, data visualization, statistics, model evaluation, data cleaning workflow, and strong emphasis on A/B testing, dashboard reporting, data wrangling. Additional keywords: statistics scikit-learn.",Data Science
"Hands-on experience with model tuning, Python, TensorFlow, computer vision in classification model, including data preprocessing, feature selection, cross-functional collaboration. Additional keywords: computer vision machine learning.",AI/ML
"Worked on patient data analysis using signal processing, MATLAB, biostatistics, medical imaging and delivered results through research methodology, lab protocol, regulatory documentation. Additional keywords: PCR healthcare analytics.",Biomedical
"Hands-on experience with risk analysis, budgeting, Excel, valuation in investment analysis, including KPI tracking, cash flow planning, business analysis. Additional keywords: financial modeling taxation.",Finance
"Professional background includes SQL, model evaluation, data visualization, Pandas, data cleaning workflow, and strong emphasis on feature engineering, exploratory analysis, problem solving. Additional keywords: model evaluation scikit-learn.",Data Science
"CRM, content strategy, lead generation, Google Analytics focused on customer funnel with experience in market research, process improvement, conversion optimization. Additional keywords: Google Analytics social media.",Marketing
"Professional background includes bioinformatics, MATLAB, signal processing, biostatistics, patient data analysis, and strong emphasis on data interpretation, presentation skills, regulatory documentation. Additional keywords: bioinformatics MATLAB.",Biomedical
"structural analysis, AutoCAD, RCC design, surveying focused on building project with experience in safety compliance, quality control, vendor coordination. Additional keywords: construction management AutoCAD.",Civil Engineering
"RCC design, site execution, surveying, STAAD Pro focused on building project with experience in quality control, safety compliance, cross-functional collaboration. Additional keywords: construction management STAAD Pro.",Civil Engineering
"Git, SQL, Java, Python focused on API layer with experience in code review, unit testing, cloud deployment. Additional keywords: Docker REST APIs.",Software Engineering
"budgeting, risk analysis, valuation, financial modeling focused on audit process with experience in cash flow planning, cost optimization, KPI tracking. Additional keywords: risk analysis Excel.",Finance
"campaign planning, SEO, Google Analytics, lead generation focused on content calendar with experience in audience segmentation, market research, performance reporting. Additional keywords: content strategy social media.",Marketing
"Hands-on experience with accounting, financial modeling, budgeting, valuation in investment analysis, including cost optimization, compliance review, variance analysis. Additional keywords: taxation forecasting.",Finance
"TensorFlow, Python, NLP, model tuning focused on classification model with experience in hyperparameter optimization, stakeholder communication, presentation skills. Additional keywords: computer vision model tuning.",AI/ML
"Hands-on experience with mechanical design, SolidWorks, GD&T, MATLAB in prototype assembly, including stakeholder communication, technical drawing, tolerance stack-up. Additional keywords: FMEA CAD.",Mechanical Engineering
"Hands-on experience with SQL, scikit-learn, model evaluation, data visualization in prediction pipeline, including A/B testing, feature engineering, data wrangling. Additional keywords: Python statistics.",Data Science
"machine learning, TensorFlow, computer vision, PyTorch focused on classification model with experience in cross-functional collaboration, data preprocessing, hyperparameter optimization. Additional keywords: NLP computer vision.",AI/ML
"Built and improved analytics dashboard by applying data visualization, Python, model evaluation, statistics and technical writing, feature engineering, dashboard reporting. Additional keywords: model evaluation Python.",Data Science
"Worked on brand launch using brand management, SEO, CRM, content strategy and delivered results through conversion optimization, audience segmentation, presentation skills. Additional keywords: social media CRM.",Marketing
"Built and improved diagnostic system by applying PCR, biostatistics, healthcare analytics, signal processing and technical writing, lab protocol, problem solving. Additional keywords: PCR signal processing.",Biomedical
"Worked on brand launch using CRM, social media, brand management, content strategy and delivered results through audience segmentation, conversion optimization, cross-functional collaboration. Additional keywords: lead generation CRM.",Marketing
"Hands-on experience with SolidWorks, manufacturing, AutoCAD, mechanical design in thermal system, including quality inspection, presentation skills, cross-functional collaboration. Additional keywords: mechanical design CAD.",Mechanical Engineering
"Built and improved product design by applying FMEA, GD&T, MATLAB, manufacturing and cross-functional collaboration, quality inspection, process improvement. Additional keywords: GD&T MATLAB.",Mechanical Engineering
"Worked on audit process using Excel, accounting, taxation, budgeting and delivered results through technical writing, cash flow planning, documentation. Additional keywords: risk analysis Excel.",Finance
"structural analysis, construction management, AutoCAD, site execution focused on site supervision with experience in safety compliance, technical writing, project scheduling. Additional keywords: RCC design construction management.",Civil Engineering
"Hands-on experience with Excel, budgeting, risk analysis, valuation in investment analysis, including cost optimization, compliance review, KPI tracking. Additional keywords: financial modeling forecasting.",Finance
"CRM, brand management, content strategy, campaign planning focused on growth strategy with experience in process improvement, performance reporting, market research. Additional keywords: social media SEO.",Marketing
"Built and improved digital campaign by applying campaign planning, Google Analytics, content strategy, CRM and market research, technical writing, presentation skills. Additional keywords: lead generation content strategy.",Marketing
"Built and improved analytics dashboard by applying Pandas, NumPy, data visualization, scikit-learn and exploratory analysis, documentation, A/B testing. Additional keywords: Python data visualization.",Data Science
"Hands-on experience with clinical research, healthcare analytics, medical imaging, bioinformatics in diagnostic system, including lab protocol, regulatory documentation, technical writing. Additional keywords: healthcare analytics medical imaging.",Biomedical
"Professional background includes healthcare analytics, bioinformatics, signal processing, medical imaging, patient data analysis, and strong emphasis on presentation skills, research methodology, documentation. Additional keywords: healthcare analytics medical imaging.",Biomedical
"Professional background includes Docker, Django, Git, REST APIs, full-stack portal, and strong emphasis on cloud deployment, unit testing, technical writing. Additional keywords: Docker SQL.",Software Engineering
"Hands-on experience with social media, SEO, lead generation, brand management in digital campaign, including audience segmentation, business analysis, market research. Additional keywords: CRM brand management.",Marketing
"Built and improved customer funnel by applying SEO, content strategy, Google Analytics, lead generation and audience segmentation, market research, problem solving. Additional keywords: social media SEO.",Marketing
"Hands-on experience with Java, Python, JavaScript, SQL in API layer, including code review, agile delivery, cloud deployment. Additional keywords: SQL React.",Software Engineering
"financial modeling, valuation, forecasting, budgeting focused on financial report with experience in variance analysis, cost optimization, KPI tracking. Additional keywords: budgeting valuation.",Finance
"Worked on backend service using React, Python, Django, SQL and delivered results through cloud deployment, stakeholder communication, unit testing. Additional keywords: Git REST APIs.",Software Engineering
"Built and improved content calendar by applying SEO, CRM, campaign planning, content strategy and audience segmentation, conversion optimization, performance reporting. Additional keywords: social media brand management.",Marketing
"MATLAB, signal processing, clinical research, medical imaging focused on patient data analysis with experience in regulatory documentation, business analysis, research methodology. Additional keywords: healthcare analytics bioinformatics.",Biomedical
"Professional background includes REST APIs, Java, SQL, Flask, microservices platform, and strong emphasis on agile delivery, documentation, unit testing. Additional keywords: Flask Git.",Software Engineering
"model tuning, deep learning, Python, TensorFlow focused on LLM assistant with experience in feature selection, data preprocessing, presentation skills. Additional keywords: Python computer vision.",AI/ML
"REST APIs, JavaScript, SQL, Django focused on microservices platform with experience in process improvement, cloud deployment, CI/CD. Additional keywords: JavaScript Docker.",Software Engineering
"Hands-on experience with Python, computer vision, deep learning, model tuning in LLM assistant, including documentation, MLOps, data preprocessing. Additional keywords: deep learning computer vision.",AI/ML
"Hands-on experience with financial modeling, budgeting, Excel, risk analysis in portfolio model, including cash flow planning, variance analysis, cost optimization. Additional keywords: accounting risk analysis.",Finance
"mechanical design, manufacturing, SolidWorks, FMEA focused on thermal system with experience in problem solving, finite element analysis, process optimization. Additional keywords: manufacturing MATLAB.",Mechanical Engineering
"Worked on microservices platform using Django, Docker, Java, React and delivered results through presentation skills, documentation, CI/CD. Additional keywords: Docker Python.",Software Engineering
"model tuning, computer vision, NLP, PyTorch focused on recommendation engine with experience in data preprocessing, MLOps, feature selection. Additional keywords: TensorFlow computer vision.",AI/ML
"Professional background includes JavaScript, Java, REST APIs, Flask, API layer, and strong emphasis on agile delivery, stakeholder communication, unit testing. Additional keywords: Git Docker.",Software Engineering
"Hands-on experience with MATLAB, manufacturing, AutoCAD, FMEA in prototype assembly, including tolerance stack-up, finite element analysis, process optimization. Additional keywords: FMEA MATLAB.",Mechanical Engineering
"signal processing, clinical research, healthcare analytics, MATLAB focused on device validation with experience in cross-functional collaboration, business analysis, lab protocol. Additional keywords: signal processing clinical research.",Biomedical
"STAAD Pro, site execution, Revit, RCC design focused on building project with experience in quality control, project scheduling, vendor coordination. Additional keywords: AutoCAD structural analysis.",Civil Engineering
"model tuning, Python, NLP, PyTorch focused on LLM assistant with experience in hyperparameter optimization, feature selection, data preprocessing. Additional keywords: PyTorch model tuning.",AI/ML
"Built and improved product design by applying AutoCAD, MATLAB, FMEA, manufacturing and tolerance stack-up, technical drawing, finite element analysis. Additional keywords: SolidWorks GD&T.",Mechanical Engineering
"Hands-on experience with FMEA, CAD, SolidWorks, MATLAB in prototype assembly, including quality inspection, tolerance stack-up, technical drawing. Additional keywords: mechanical design CAD.",Mechanical Engineering
"Hands-on experience with biostatistics, signal processing, PCR, clinical research in device validation, including presentation skills, research methodology, lab protocol. Additional keywords: medical imaging bioinformatics.",Biomedical
"Hands-on experience with financial modeling, forecasting, valuation, budgeting in budget dashboard, including variance analysis, cost optimization, KPI tracking. Additional keywords: accounting risk analysis.",Finance
"Worked on vision system using deep learning, computer vision, Python, PyTorch and delivered results through feature selection, problem solving, stakeholder communication. Additional keywords: machine learning computer vision.",AI/ML
"NLP, Python, TensorFlow, PyTorch focused on classification model with experience in training pipeline, data preprocessing, problem solving. Additional keywords: machine learning TensorFlow.",AI/ML
"Worked on customer funnel using SEO, campaign planning, brand management, content strategy and delivered results through market research, cross-functional collaboration, A/B testing. Additional keywords: social media campaign planning.",Marketing
"Worked on budget dashboard using budgeting, risk analysis, valuation, forecasting and delivered results through technical writing, cash flow planning, cost optimization. Additional keywords: budgeting valuation.",Finance
"Built and improved vision system by applying TensorFlow, Python, computer vision, machine learning and hyperparameter optimization, problem solving, data preprocessing. Additional keywords: NLP computer vision.",AI/ML
"Hands-on experience with forecasting, valuation, risk analysis, taxation in audit process, including compliance review, variance analysis, cost optimization. Additional keywords: valuation budgeting.",Finance
"Hands-on experience with financial modeling, accounting, Excel, risk analysis in financial report, including cross-functional collaboration, KPI tracking, compliance review. Additional keywords: budgeting Excel.",Finance
"Built and improved data cleaning workflow by applying data visualization, Pandas, model evaluation, statistics and dashboard reporting, data wrangling, A/B testing. Additional keywords: model evaluation Python.",Data Science
"Professional background includes clinical research, healthcare analytics, MATLAB, biostatistics, imaging workflow, and strong emphasis on data interpretation, equipment testing, lab protocol. Additional keywords: PCR clinical research.",Biomedical
"Hands-on experience with NLP, computer vision, PyTorch, Python in classification model, including cross-functional collaboration, data preprocessing, presentation skills. Additional keywords: NLP computer vision.",AI/ML
"Java, Docker, JavaScript, Git focused on microservices platform with experience in code review, unit testing, agile delivery. Additional keywords: Flask JavaScript.",Software Engineering
"Hands-on experience with lead generation, Google Analytics, brand management, content strategy in digital campaign, including A/B testing, problem solving, audience segmentation. Additional keywords: Google Analytics campaign planning.",Marketing
"Hands-on experience with CRM, content strategy, brand management, lead generation in digital campaign, including audience segmentation, problem solving, conversion optimization. Additional keywords: content strategy CRM.",Marketing
"Hands-on experience with SQL, Docker, Python, React in API layer, including cross-functional collaboration, CI/CD, code review. Additional keywords: JavaScript Python.",Software Engineering
"Built and improved content calendar by applying lead generation, campaign planning, Google Analytics, SEO and market research, conversion optimization, cross-functional collaboration. Additional keywords: campaign planning brand management.",Marketing
"AutoCAD, STAAD Pro, surveying, Revit focused on structural estimation with experience in problem solving, project scheduling, safety compliance. Additional keywords: site execution surveying.",Civil Engineering
"Worked on bridge design using Revit, AutoCAD, STAAD Pro, construction management and delivered results through BOQ preparation, safety compliance, stakeholder communication. Additional keywords: surveying RCC design.",Civil Engineering
"SEO, campaign planning, Google Analytics, content strategy focused on brand launch with experience in technical writing, presentation skills, audience segmentation. Additional keywords: CRM lead generation.",Marketing
"Professional background includes lead generation, CRM, SEO, campaign planning, customer funnel, and strong emphasis on audience segmentation, A/B testing, business analysis. Additional keywords: social media campaign planning.",Marketing
"Worked on vision system using model tuning, Python, PyTorch, computer vision and delivered results through process improvement, data preprocessing, training pipeline. Additional keywords: PyTorch deep learning.",AI/ML
"campaign planning, lead generation, social media, content strategy focused on content calendar with experience in A/B testing, presentation skills, performance reporting. Additional keywords: CRM campaign planning.",Marketing
"SolidWorks, GD&T, CAD, MATLAB focused on prototype assembly with experience in presentation skills, tolerance stack-up, technical writing. Additional keywords: MATLAB SolidWorks.",Mechanical Engineering
"FMEA, manufacturing, SolidWorks, GD&T focused on product design with experience in tolerance stack-up, quality inspection, finite element analysis. Additional keywords: MATLAB CAD.",Mechanical Engineering
"taxation, accounting, forecasting, financial modeling focused on financial report with experience in cash flow planning, cross-functional collaboration, cost optimization. Additional keywords: budgeting financial modeling.",Finance
"Python, Docker, REST APIs, Java focused on full-stack portal with experience in cloud deployment, technical writing, documentation. Additional keywords: REST APIs JavaScript.",Software Engineering
"PCR, MATLAB, medical imaging, bioinformatics focused on clinical study with experience in documentation, lab protocol, regulatory documentation. Additional keywords: MATLAB clinical research.",Biomedical
"Hands-on experience with surveying, RCC design, Revit, structural analysis in building project, including quality control, problem solving, safety compliance. Additional keywords: surveying RCC design.",Civil Engineering
"Built and improved brand launch by applying lead generation, Google Analytics, campaign planning, content strategy and audience segmentation, conversion optimization, performance reporting. Additional keywords: campaign planning SEO.",Marketing
"GD&T, FMEA, manufacturing, SolidWorks focused on machine component with experience in tolerance stack-up, technical drawing, quality inspection. Additional keywords: GD&T mechanical design.",Mechanical Engineering
"Built and improved backend service by applying Docker, REST APIs, Git, React and cloud deployment, documentation, agile delivery. Additional keywords: Java React.",Software Engineering
"Hands-on experience with social media, brand management, Google Analytics, lead generation in customer funnel, including audience segmentation, performance reporting, market research. Additional keywords: SEO content strategy.",Marketing
"Worked on thermal system using manufacturing, CAD, SolidWorks, GD&T and delivered results through stakeholder communication, tolerance stack-up, finite element analysis. Additional keywords: mechanical design CAD.",Mechanical Engineering
"Worked on budget dashboard using budgeting, financial modeling, accounting, taxation and delivered results through compliance review, cash flow planning, stakeholder communication. Additional keywords: accounting forecasting.",Finance
"Hands-on experience with forecasting, risk analysis, taxation, Excel in portfolio model, including cost optimization, variance analysis, problem solving. Additional keywords: budgeting accounting.",Finance
"JavaScript, Java, Python, Git focused on microservices platform with experience in stakeholder communication, CI/CD, unit testing. Additional keywords: SQL Flask.",Software Engineering
"Worked on customer funnel using campaign planning, lead generation, CRM, social media and delivered results through process improvement, cross-functional collaboration, conversion optimization. Additional keywords: content strategy brand management.",Marketing
"Built and improved data cleaning workflow by applying Pandas, SQL, statistics, model evaluation and presentation skills, dashboard reporting, A/B testing. Additional keywords: NumPy Python.",Data Science
"Professional background includes Excel, forecasting, taxation, budgeting, financial report, and strong emphasis on cash flow planning, variance analysis, cost optimization. Additional keywords: taxation Excel.",Finance
"Worked on neural network using Python, model tuning, computer vision, PyTorch and delivered results through stakeholder communication, hyperparameter optimization, training pipeline. Additional keywords: Python NLP.",AI/ML
"medical imaging, bioinformatics, PCR, signal processing focused on clinical study with experience in presentation skills, data interpretation, documentation. Additional keywords: MATLAB biostatistics.",Biomedical
"Built and improved data cleaning workflow by applying scikit-learn, Pandas, SQL, NumPy and data wrangling, stakeholder communication, A/B testing. Additional keywords: scikit-learn statistics.",Data Science
"Google Analytics, lead generation, CRM, content strategy focused on content calendar with experience in documentation, business analysis, A/B testing. Additional keywords: SEO CRM.",Marketing
"Worked on diagnostic system using PCR, biostatistics, bioinformatics, medical imaging and delivered results through lab protocol, presentation skills, technical writing. Additional keywords: signal processing clinical research.",Biomedical
"Revit, RCC design, AutoCAD, construction management focused on bridge design with experience in project scheduling, safety compliance, vendor coordination. Additional keywords: structural analysis surveying.",Civil Engineering
"Hands-on experience with signal processing, bioinformatics, medical imaging, clinical research in imaging workflow, including business analysis, research methodology, lab protocol. Additional keywords: healthcare analytics medical imaging.",Biomedical
"Worked on full-stack portal using Python, JavaScript, Git, REST APIs and delivered results through cross-functional collaboration, CI/CD, unit testing. Additional keywords: Django Flask.",Software Engineering
"Built and improved infrastructure planning by applying AutoCAD, structural analysis, Revit, STAAD Pro and BOQ preparation, business analysis, project scheduling. Additional keywords: construction management Revit.",Civil Engineering
"taxation, budgeting, financial modeling, Excel focused on financial report with experience in cash flow planning, compliance review, variance analysis. Additional keywords: budgeting taxation.",Finance
"mechanical design, MATLAB, manufacturing, FMEA focused on manufacturing line with experience in technical drawing, tolerance stack-up, finite element analysis. Additional keywords: mechanical design manufacturing.",Mechanical Engineering
"Worked on classification model using SQL, Python, Pandas, NumPy and delivered results through cross-functional collaboration, A/B testing, dashboard reporting. Additional keywords: NumPy scikit-learn.",Data Science
"Worked on clinical study using MATLAB, biostatistics, healthcare analytics, medical imaging and delivered results through process improvement, research methodology, regulatory documentation. Additional keywords: signal processing MATLAB.",Biomedical
"Professional background includes Git, Django, React, Python, backend service, and strong emphasis on CI/CD, unit testing, technical writing. Additional keywords: SQL Python.",Software Engineering
"Built and improved neural network by applying computer vision, Python, NLP, TensorFlow and MLOps, data preprocessing, cross-functional collaboration. Additional keywords: NLP TensorFlow.",AI/ML
